Frase,Consensuada
"Ahora viene el tiro en suspensión. Lo mismo, pero ahora vamos a tirar más lejos, ¿vale? De ahí sin pelota, lo mismo. Ponte a recoger rebote, voy botando, cojo la pelota y tiro en suspensión. Ahí va. Bueno, vamos ahí, ¿vale? Venga, ahí. ¡Muy bien!  Ivana, no has metido tantas canastas, yo te he visto y la técnica perfecta, ¿vale? Ahora, vamos a coordinar ya el tiro de suspensión, ¿vale? El otro es un estilo estático. Ahora, voy botando, y además ahí os van a ayudar, Pedro os va a ayudar, voy botando, cojo la pelota, y lo mismo, coloco las manos, como siempre, con cuántas manos impulso, y con cuántas manos tiro, con dos, pero impulso con una. Yo coloco la mano, y tiro.",2
"Ahí, fallado.",3
" Mira mi mano. ¿Cómo tiene que terminar la muñeca? Aquí. ¿Y el balón cómo tiene que girar? Hacia atrás. Muy bien. Pues venga, los que tienen balón... Venga, Pedro, allí. Colócamelos allí. Los que tienen balón, allí. Venga. Fenomenal.",2
Vale.,0
Ahora...,0
" Termina, muy bien. ¡Sí, sí! ¿Has visto?",2
Aumento canasta.,0
"Fenomenal. Ahora, como son los de allí, nos vamos a colocar. Los que no tienen balón allí. Los que no tienen balón allí. Los que no tienen balón allí. Te voy a enseñar la tercera manera de testar. Mirad, cuando estamos debajo de la canasta, la manera más fácil es el tiro a la tabla. ¿Veis el cuadrado negro? ¿Veis la esquina? Donde sigue la intersección entre las dos líneas.",2
" Lo malo es que aquí os va a dar el sol, a lo mejor es mejor desde aquí.",1
Yo creo que es mejor desde aquí.,1
"Vale, pues entonces poneros allí sin balón. Mirad, entonces veis la esquina allí y mirad, yo cojo la pelota y tiro ahí.",2
"Ahí va, que he fallado.",3
Madre mía.,3
"Ahí, ¿vale?",0
"Y ya vais a ver que vais a meter muchas más canastas que si directamente tiro aquí. Mejor allí.  Toma, Lorena, va. Venga, lanzamiento. No se entra a la canasta, pero ahí tira allí.",2
Vale.,0
"Vamos a tirar el tiro a la tabla, ¿vale? Ahora, los que no tienen balón allí. Los que no tienen balón allí. Los que no tienen balón allí. Vale, el tiro a la tabla. ¿Dónde hay que tirar para tirar a la tabla, Daniel? Al cuadrado. Al cuadrado, que es la intersección, ¿no? La esquina.",2
"Vale, entonces yo voy botando y... Dame otra vez que no puedo fallar, hombre.",3
Voy tirando y tengo que apuntar a la esquina.,2
 ¿Vale?,0
"Acordaros, pero ¿con cuántas manos se impulsan? Muy bien, la otra solo si guía. Igual, tiro a tabla, ¿vale?",2
Me puedo acercar si es muy difícil.,1
"Izan, tira más cerca para tener más puntería. Muy bien, veo mejores tiros.",2
"Vale, ahora vamos a pasar al tiro de... ¿No hay metido ninguna o qué?",3
"A ver, pues, te ha centrado la técnica.",0
 Un poquito más cerca a lo mejor.,1
"Vale, vamos aquí al tiro a tabla. Álvaro, para mí la manera más sencilla cuando estoy cerca de la canasta, para mí es la más sencilla de cestar, ¿vale? Entonces, ¿qué tengo que hacer cuando estoy cerca de la canasta? Como dirá Sergio, hay que tirar ¿dónde? Al cuadrado. Al cuadrado, pero ¿dónde? A la esquina, la intersección que tengo aquí es donde tengo que apuntar cuando tiro a tabla. Entonces yo cuando tiro a tabla, ahí es donde apunto. Pero ¿con cuántas manos se impulsan?  ¿Con una?",2
Pues es lo mismo.,0
¿Y cómo tengo que tener a la muñeca? ¿Aquí? ¿La veo allí? Pues colocaos con balón allí.,2
¿Que tengo más... que me veo más confianza?,0
Pues de un poquito más lejos.,1
¿Vale?,0
Pero que no.,0
Prefiero que empecéis desde cerca.,1
¿Vale?,0
"Y centraros en la técnica.  Muy bien. Fenomenal. Ahora vamos a hacer el tío a tabla. El tío a tabla para mí es el lanzamiento más sencillo para encestar cuando está cerca de la canasta. Que Pedro lo va a hacer. Pedro, ponte aquí.",2
"Venga, rápido.",3
Allí.,3
"¿Dónde tienen que tirar, Pedro?",3
Al cuadradito.,3
"Al cuadradito, pero el cuadradito es muy largo, es muy grande. El pequeñito. El pequeñito, pero ¿dónde exactamente? Al medio. A la intersección. ¿Veis la esquina superior? Vale, entonces él va a coger la pelota, la técnica la misma.  No, un tiro. Un tiro, ahí, y ahí es donde tienes que apuntar.",2
¿Vale?,0
"He visto que la técnica es la misma, lo único, que en vez de apuntar al aro, apunto a la esquina.",2
"Me lo he fallado yo, pero qué Pedro es mejor que yo.",3
"Nos colocamos y practicamos. Entonces, cuando estoy debajo de la canasta, mucho más fácil tirar ahí. Ahí. Ahí. Venga, toma.",2
"Venga, esa pelota no es de las mejores.",1
"Va.  Pedro, corrígeles cuando la técnica. Muy bien, a ver que vea yo el lanzamiento.",2
"Ya, bueno, lo importante es la sensación que tienes tú y no lo que yo vea.",1
¿Entiendes?,1
Yo lo que veo es que técnicamente lo estáis mejorando.,1
"Vale, hoy es el primer día.",1
Te falta el lanzamiento de lo de la muñeca. Tienes que ir hacia atrás.,2
Vale.,0
" Colocaros aquí. La última manera, hoy es rápido porque hoy es la... Bueno, rápido. Quiero que probéis las cuatro maneras. El siguiente día, que ya sabemos los ejercicios, ahí detrás. Vale, vamos a empezar la última manera de encestar, que es la entrada a canasta. Vale, entonces voy botando y ves que hay unos círculos en el suelo y hago, mirad. Cojo la pelota derecha, izquierda y lanzo. Lo voy a repetir lentamente, sí. Voy botando.  Hay circulitos en el suelo. Cojo la pelota derecha, izquierda y lanzo, como bien sabemos, a la tabla.",2
¿Vale?,0
Venga.,0
"Un poquito más que empezamos los partidos dentro de nada. A ver, la última manera de encestar. La entrada canasta, ¿vale?",2
"Entonces, lo de sin balón.",0
Allí.,0
"Izan, ¿tú qué crees que se empieza? Cuando coges la pelota, con la izquierda o con la derecha, cuando entras por el lado derecho de la canasta. Muy bien.  Entonces vamos a hacer la derecha, entonces voy botando y como vienen los circulitos, cojo la pelota, derecha, izquierda y lanzo. Como siempre, igual a la tabla y vamos a hacer, en vez de hacer esta entrada ganasta, vamos a hacer la entrada ganasta, esta que es mucho más facilita. Y vais a hacer, porque el objetivo de hoy es que por lo menos tengáis unas herramientas para poder encestar, ¿vale? Venga, y ahora echáis el partido.",2
A lo mejor vosotros cuatro os vais a ir allí para jugar con Pedro y con...,0
" Vale, muy bien. Como bien sabe Sergio, Sergio, ¿cuál es la última manera que tenemos para encestar? Muy bien, pues vente aquí que lo vas a hacer. ¿Qué pierna empiezo cuando cojo la pelota si entro por el lado derecho? ¿Con qué pierna empiezo el primer paso? Bueno, pues yo así lo simplifico, es cojo la pelota y doy derecha, izquierda y lanzo.",2
¿Vale?,0
"Voy a repetir otra vez para que quede, que lo va a hacer él.  que lo hace muy bien, va botando, derecha, izquierda y lanzo. Normalmente, cuando ya somos un nivel más alto, el primer paso tiene que ser más largo. El siguiente más corto y ahí lanzo.",2
"Pero bueno, como es el primer día,",0
" Hoy nos vamos a centrar en lo básico, que lo básico es, voy botando, cojo la pelota, derecha, izquierda, y como ya sabemos tirar la tabla, habéis visto que no fallo casi ninguna, pues lo mismo lo podéis hacer vosotros. Allí, venga, entra la canasta. Muy bien, termina. Casi. Jonathan, lo tienes todo, pero te falta este movimiento, el impulso final para que la pelota... Muy bien, Héctor. Muy bien. Hay que tirar la tabla.",2
Vale.,0
"Muy bien, Johanna, lo estás haciendo hoy mejor. Muy bien.",2
Héctor...,0
" Con balón aquí. Ahora Pedro nos va a enseñar lo que es la entrada canasta, que es la última manera que tenemos de encestar.",2
"¿Vale, Pedro?",0
¿Me puedes enseñar cómo le explicarías tú lo de la entrada canasta? ¿Con qué?,2
Venga.,0
"Dos apoyos que son dos pasos.  Vale, como ya hemos hecho la entrada, como ya sabemos lo de... muy bien explicado, como ya hemos hecho el tiro a tabla, ¿habéis visto qué ha dicho? ¿Con qué paso ha dicho que cogemos la primera? Cojo la pelota, derecha, luego ¿qué? Izquierda, y como ya sabemos tirar a tabla, ¿dónde hay que tirar? Al cuadradito, ahí, y no voy a fallar casi ninguna, entonces ahora va a hacer una entrada como debe ser a nivel un poquito más profesional, porque a él se le da muy bien el balcesto, ¿vale?",2
Pero...,0
" Me conformo con que despacito cojo la pelota derecha, izquierda, él te va a corregir los fallos, ¿vale?",1
Me corriges.,0
"A ver, a ver, se ha entrado la canasta.",0
"¡Ay, qué bien!",2
Pero... ¡Oh!,0
"Laura, ¿quién es tu profesor de educación física que te ha enseñado muy bien la entrada?",2
"Tú ya has jugado, ¿no?",3
Ya sabías.,0
" Es que... Muy bien. Cuatro seguidas no es tan fácil. Lo único que acordaros... Perdón, es que esto es magia. ¿Has visto que cuando haces la técnica bien, metes todas? Lo único que acuérdate, que yo no puedo... Tengo que ir botando, cojo la pelota.",2
¿Vale?,0
Vale.,0
Bueno.,0
Vale.,0
"Venga, pues... Antes del descanso de distracción...",0
 Vamos a hacer el partido.,2
"Un descanso para hidratarse, porque hace mucho calor.",1
"Lorena, tú que el primer turno descansas tú. La que descansa es la que puede ir a beber agua.",2
Ya voy.,0
"Voy, ya termino.",0
"Venir aquí, que echamos el partido. Tres contra tres. Lorena descansa el primer turno. Cuando pasen dos o tres minutitos, ella ahora va a beber agua, va a ir descansando de una en una.",2
 ¿Vale?,0
"Venga, ¿nos acordamos de las reglas de 3 contra 3? ¿Os acordaros que para cambiar de ataque a defensa hay que salirse detrás de la línea de 3 puntos? ¿Os acordáis de eso? Que va a terminar muy rápido. Tú estás atacando. Si tú atacas, si ese equipo está atacando y ellos cogen el rebote debajo de la canasta, ¿pueden seguir tirando?",2
Sí.,0
"Sí, sí.",0
"En cambio, si ellos tiran y vosotros recuperáis el balón ya cogiendo el rebote o le quitáis la pelota, ¿podéis tirar a canasta?",2
Sí.,0
" No, tienes que sacar la pelota fuera. ¿Cómo sacando la pelota? Pasando o botando la pelota. Esa es la regla más importante que tenemos que aprender, que ya la sabemos. ¿Sabéis que se juega en cuánto? ¿En cancha completa o media cancha? Muy bien, pues ya sabemos otra cosa. Y acordaros, ¿cuántos puntos teníamos que hacer para ganar un partido? 21. Muy bien. ¿Y cuántos segundos teníamos en 3 contra 3?",2
¿Teníamos solo...?,0
" 12, pero muy buen intento, muy bien, es que es la segunda clase. Va, preparados, listos, ya. Eh, muy bien.",2
"Izan, Daniel, yo creo que Valeria también juega bien.",3
"Alejandro, ¿tú cómo te ves de nivel?",1
Voy a ponerlo por niveles.,3
 ¿Quieres seguir con ellos o es un nivel un poquito más bajo?,3
Más bajo.,0
"Vale, más bajo.",3
"Vosotros cuatro, venid conmigo. Ahora te mando gente ahí, ¿vale? Joana, Jonathan, Ana y Eira, vais allí, que vais con ellos. Allí, que es que esta canasta no sale en la tele. Aquí.",2
"Héctor, ¿quién juega muy bien?",3
¿Quién es el segundo que juega mejor de los tres?,3
 ¿Eh?,0
¿Dani?,0
"Toma, y tres contra tres y empezar a jugar. Sí, ahora vete a ver agua.",2
"Eh, Héctor, por favor, ¿me puedes organizar dos equipos equilibrados?",3
"Eh, Pedro, ¿dos equipos equilibrados?",3
Venga.,0
"Vale, chicos, es hora de jugar.",2
"Eh, Alejandro.",0
Ahí van a jugar dos contra dos. Aquí tres contra tres.,2
" Vale, ve aquí la balota.",0
"Porque no somos, no son, no son.",0
Ahora buscaré.,0
"Venga, pues Ning, Nelson y Alejandro.",0
Álvaro.,0
"Bueno, no pasa nada porque ahora uno descansa, ¿vale?",1
Que descansa va a haber agua.,1
¿Vale?,0
Vas.,0
"Uno, dos, tres. Uno, dos, tres.",2
¿Vale?,0
¿Están desequilibrados o qué?,1
¿Cómo lo ves?,1
 Vale.,0
Venga.,0
"No, Judith, aquí.",2
Ponín.,0
"Alejandro, ahí.",2
Venga.,0
"Pues entonces, allí.",0
Venga.,0
¿Para qué es mi frase favorita?,0
No excuses.,3
"Venga, va, preparados. Álvaro, cuando venga. Álvaro, descansas el primer turno. Una. ¿Quién salta?",2
"No, ahora descansas el primer turno.",3
"Espera.  Una, dos, tres.",2
¡Cinco minutos!,3
"No, ahora me tienes que ayudar a recoger los balones.",3
¿Ves la bolsa?,2
Eso es uno de los alumnos de los buenos.,3
Todos son buenos.,3
"Pero tú, entonces, tú ahora me ayudas allí, cuando estás descansando.",3
"Los balones, sí.",3
Toma.,3
Allí.,3
"Ahora, vale, jugamos cinco minutitos y os dejo beber un poquito de agua, ¿vale?",1
" Venga, echar ahí un poquito de intensidad. Quiero ver aplicar todo el lanzamiento. No quiero ver a nadie lanzar con dos manos. Muy bien, piénsatelo. Hay que lanzar con dos manos, has impulsado. Muy bien, entra la canasta. Centraros.  ¡Muy bien!",2
¡Oh!,0
"¡Ha hecho caso y ha funcionado! ¡Ha hecho los pasos! ¡Increíble! Bien, Jonathan. Acuérdate, todo perfecto. Mira, ¿sabes cuándo hay que tener más calma? Cuando vas a lanzar. ¿Cuál es el que parecemos todos? ¿Viene la pelota?",2
No.,0
"Entonces, cuando viene por eso, lo importante en baloncesto es conseguir buenas posiciones. ¿Qué son buenas posiciones de tiro? Esas son las que tengo tiempo para preparar. Entonces, yo estoy solo, me preparo y ahora es cuando tengo más posibilidades  De encestar, a veces sí, a veces no.",2
"Pero... Nada, he fallado.",3
"Pero bueno, por lo menos... Que sintáis esa calma. Y has pensado y has dicho... ¡Oh, voy a hacer entrar canasta! ¡Oh, voy a hacer esas cosas!",2
¿Vale?,0
"Venga, muy bien. Nunca lo he dudado que seas inteligente. Eres muy inteligente. A ver, acordaros de salirse. De marcarse.",2
"Vale, Álvaro, ahora te meto.",0
"No te preocupes que... A ver, ayúdame.",1
"A ver, ¿alguien que quiere ir a ver agua aquí?",1
" Venga, entra, Lorena.",2
"A ver, agua.",0
Dile el equipo.,0
"Sí, tu equipo.",0
"Venga, Álvaro, coge... Se ha ido Laura.",0
Venga.,0
"Bueno, ya se ha ido ella.",0
"Venga, seguid.  Va, va, que vea yo el lanzamiento. Oh, qué bien, qué, qué, qué. Has encestado una, pero la has encestado con técnica, muy bien protegido. Acordaros de las reglas educativas. Nadie puede tirar dos veces seguidas. Piénsatelo.",2
"Vale, tranquila.",1
"Para, para, para.",2
Vale.,0
"Para, para. Otra vez. Pero céntrate en la técnica. ¿Cómo tienes que impulsar? ¿Con una mano o con dos?  Por eso, otra vez. ¿Con qué tienes que impulsar? ¿Con una o con dos? Pues entonces pon esta mano sobre las puntas de los dedos. Ahí. Ahí. Y esa mano. Venga, impulsa. Termina. Bueno, casi mejor. ¿Y cuándo tienes que terminar? ¿Aquí? Allí. Toma. Venga, que ahora entras allí. Sí, pues venga, házmelo. A ver ahí que vea el movimiento. Cómo nos movemos.  Quedan ya 15 minutos. Ahora voy a hacer un cambio para que vayan a beber agua.",2
"Vale, dos minutos de hidratación y terminamos haciendo el partido.",1
"Iros a beber agua todos, parar, beber agua, dos minutos y seguimos los partidos.",1
Ahora entra Álvaro.,0
" Beber agua, que es muy importante.",2
"Podéis ir al baño, pero no más de dos minutos.",1
Dos minutos.,3
"Pues ya, se me lo imagino.",0
